question,answer
ما هي الجرائم التي يعاقب عليها بالسجن مدة لا تزيد عن ثلاثة أشهر في نظام التنفيذ؟,يعاقب بالسجن مدة لا تزيد على ثلاثة أشهر كل من امتنع من الوالدين - أو غيرهما - عن تنفيذ حكم صادر بالحضانة، أو الولاية، أو الزيارة، أو قام بمقاومة التنفيذ، أو تعطيله.
ما هي الحالات التي لا يستحق فيها دفع تكاليف قضائية؟,إذا حكم بعدم الاختصاص فلا تستحق تكاليف جديدة لإقامة الدعوى أمام المحكمة المختصة ما لم يتغير موضوع الدعوى. إذا قضت المحكمة المختصة بنقض الحكم وإعادة الدعوى إلى المحكمة التي أصدرت الحكم المعترض عليه إلى المحكمة أو إلى أي محكمة أخرى.
ما هي الخبرة المطلوبة للحصول على ترخيص المحاماة بالنسبة لموظفي (القطاع الحكومي)؟,حسب ما نصّت عليه المادة (5/3) من اللائحة التنفيذية لنظام المحاماة، فإن الخبرة في طبيعة العمل تكون بمزاولة أحد الأعمال التالية: أ- القضاء داخل المملكة، وخارجها. ب- الإفتاء داخل المملكة بصفة رسمية. جـ- تدريس مواد الفقه، أو أصوله أو الأنظمة في الجامعات أو الدراسات العليا في المعاهد أو المؤسسات التعليمية الأخرى في المملكة. د- الاستشارات في أجهزة الدولة ومؤسساتها وهيئاتها. هـ- الخبرة المكتسبة في طبيعة العمل في الشركات والمؤسسات الأهلية. و- الترافع عن الغير أمام الجهات. ز- الادعاء العام، أو التحقيق بوزارة الداخلية داخل المملكة. ح- أعمال كتابات العدل العامة، أو كتابات العدل الأولى بالمملكة لكتاب العدل. ط- الكتابة في ضبوط القضايا الحقوقية، أو الجنائية، أو الانهائية بالمحاكم الشرعية، أو ديوان المظالم بالمملكة بوظيفة لا تقل عن مسمى (رئيس كتاب ضبط). ي- يعتد بالترخيص السابق إذا استوفيت مدة الخبرة متى كان ممارسًا للمهنة. وتخضع الخبرة في الفقرات السابقة لتقدير لجنة القيد والقبول.
ما هي الدعاوى المشمولة في التكاليف القضائية؟,الدعاوى التجارية. الدعاوى العمالية (الشركات). الدعاوى الجزائية (الحق الخاص). الدعاوى الحقوقية. طلبات التنفيذ والمنازعات التنفيذية.
ما هي الدعاوى والطلبات المستثناة من التكاليف القضائية؟,الدعاوى الجزائية العامة والدعاوى التأديبية والطلبات المتعلقة بها. قضايا الأحوال الشخصية والطلبات المتعلقة بها عدا طلب النقض وطلب التماس إعادة النظر. الدعاوى والطلبات التي يختص بها ديوان المظالم. الدعاوى والطلبات الناشئة عن تطبيق أحكام نظام الإفلاس. الدعاوى والطلبات المتعلقة بدعاوى قسمة التركات عدا طلب النقض والتماس إعادة النظر. الإنهاءات وما يتعلق بها من طلبات.
ما هي السندات التنفيذية التي نصّت عليها المادة التاسعة من نظام التنفيذ؟,تنص المادة التاسعة من نظام التنفيذ على ما يلي: لا يجوز التنفيذ الجبري إلا بسند تنفيذي لحق محدد المقدار حال الأداء، والسندات التنفيذية هي: الأحكام، والقرارات، والأوامر الصادرة من المحاكم. أحكام المحكمين المذيلة بأمر التنفيذ وفقًا لنظام التحكيم. محاضر الصلح التي تصدرها الجهات المخولة بذلك أو التي تصدق عليها المحاكم. الأوراق التجارية. العقود والمحررات الموثقة. الأحكام، والأوامر القضائية، وأحكام المحكمين، والمحررات الموثقة الصادرة في بلد أجنبي. الأوراق العادية التي يقر باستحقاق محتواها كليًا أو جزئيًا. العقود والأوراق التي لها قوة سند التنفيذي بموجب نظام.
ما هي الشروط الواجب توافرها لتجديد رخصة موثق؟, استمرار توافر شروط الترخيص في مقدم الطلب، وأن يجتاز ما تحدده الإدارة المختصة من اختبارات ودورات تدريبية. أن يتم تجديد الرخصة بناء على طلب يقدم قبل تاريخ انتهائها بمدة لا تقل عن تسعين يوماً ولا تزيد على مائة وثمانين يوماً. يقدم طلب التجديد وإعادة الإصدار وإعادة القيد في الجدول وفق النماذج والإجراءات التي تعتمدها الإدارة المختصة.
ما هي الشروط الواجب توافرها ليصبح المحامي مؤهل للتدريب؟,يشترط أن يكون التدريب لدى محامٍ أمضى مدة لا تقل عن خمس سنوات في مزاولة المهنة؛ وفقًا للمادة (٣/١٠/ب) من اللائحة التنفيذية لنظام المحاماة.
ما هي الطلبات المشمولة في التكاليف القضائية؟,طلبات الاستئناف (ما عدا في قضايا الأحوال الشخصية والإنهاءات والقضايا الجزائية في الحق العام والقضايا الناشئة عن تطبيق أحكام الإفلاس). طلبات والنقض والتماس إعادة النظر في جميع التصنيفات القضائية. الطلبات العارضة. طلبات الإدخال من الخصوم. طلبات الرد. طلب أحد الخصوم السير في الدعوى الموقوفة اتفاقًا قبل انتهاء المدة المتفق عليها لوقف الخصومة. طلب تصحيح الحكم أو تفسيره. طلب وقف تنفيذ الحكم. طلب نسخة بديلة للوثائق القضائية. طلب ذي المصلحة تسليمه نسخة مصدقة من أوراق الدعوى أو سجلاتها – الورقية أو الإلكترونية – أو الوثائق أو الأوراق التي تحت يد المحكمة. طلب ذي المصلحة الاطلاع على أوراق الدعوى أو سجلاتها – الورقية أو الإلكترونية. الطلـبات الأخرى التي تحددها اللائحة.
ما هي العملة التي تحسب بها التكاليف القضائية؟,تحسب التكاليف القضائية بالريال السعودي، ولا يدخل الجزء من الريال في الحسبة.
ما هي المحكمة المختصة مكانيًا بنظر الدعوى إذا تعدد المدعى عليهم وتنوعت أماكن إقامتهم؟,مع مراعاة ما استثناه النظام، إذا تعدد المدعى عليهم يكون الاختصاص للمحكمة التي يقع في نطاق اختصاصها مكان إقامة الأكثرية، وفي حال التساوي يكون المدعي بالخيار في إقامة الدعوى أمام أي محكمة يقع في نطاق اختصاصها مكان إقامة أحدهم.
ما هي المدة المقررة نظامًا لتوثيق واقعة الطلاق من قبل الزوج؟,يجب على الزوج أن يوثق الطلاق أمام الجهة المختصة -وفق الإجراءات المنظمة لذلك- وذلك خلال مدة أقصاها (خمسة عشر) يومًا من حين البينونة، ولا يخل ذلك بحق الزوجة في إقامة دعوى إثبات الطلاق بناءً على المادة (90) من نظام الأحوال الشخصية. وإذا لم يوثق الزوج الطلاق على النحو الوارد في المادة (90) من النظام، ولم تعلم المرأة بطلاقه لها، فلها الحق بتعويض بما لا يقل عن الحد الأدنى لمقدار النفقة من تاريخ وقوع الطلاق إلى تاريخ علمها به  بناءً على المادة (91) من نظام الأحوال الشخصية.
ما هي المدة النظامية للاعتراض على حكم صادر من المحكمة؟,مدة الاعتراض بطلب الاستئناف (30) يومًا، عدا الدعاوى المستعجلة، فمدة الاعتراض فيها (10) أيام.
ما هي حالات طلب نقض حكم صادر من محكمة الاستئناف أمام المحكمة العليا؟,للمحكوم عليه الاعتراض بطلب النقض أمام المحكمة العليا على الأحكام والقرارات التي تصدرها أو تؤيدها محاكم الاستئناف، متى كان محل الاعتراض على الحكم ما يلي: مخالفة أحكام الشريعة الإسلامية وما يصدره ولي الأمر من أنظمة لا تتعارض معها. صدور الحكم من محكمة غير مشكلة تشكيلًا سليمًا طبقًا لما نُص عليه نظامًا. صدور الحكم من محكمة أو دائرة غير مختصة. الخطأ في تكييف الواقعة، أو وصفها وصفًا غير سليم.
ما هي شروط الحصول على ترخيص مقدم خدمة تنفيذ؟,متطلبات وشروط الحصول على الرخصة كالتالي: أن يكون لدى طالب الترخيص سجل تجاري سارٍ في النشاط المراد تقديم الخدمة فيه، أو يكون لديه ترخيص سارٍ يخوله تقديم الخدمة بمقابل في المملكة أن يكون لدى طالب الترخيص خبرة لا تقل عن سنتين في مجال الترخيص الذي يطلب الترخيص فيه أو في أعمال نظيرة، ويجوز للوكالة الإعفاء من هذا الشرط عند تحقق الشرط الوارد في الفقرة (ج/7) من هذه المادة ألا يكون محكومًا بافتتاح إجراء من إجراءات التصفية لطالب الترخيص الواردة في نظام الإفلاس خلو السجل الائتماني لطالب الترخيص من أي معلومات سلبية مؤثرة على ملاءته الائتمانية، وفق ما تراه اللجنة تقديم ضمان بنكي غير مشروط بقيمة مائة ألف ريال، صادر من أحد البنوك المحلية، ويكون الضمان ساريًا مدة الترخيص، ويعاد لصاحبه في حال انقضاء الترخيص دون وجود التزامات على المرخَّص له، أو مطالبات مالية ناتجة عن تقديمه الخدمة محل الترخيص، وللوكالة تخفيض القيمة إلى الربع لبعض فئات المرخَّص لهم، ويغني عن الضمان إحضار وثيقة تأمينية تغطي أخطاء مقدم الخدمة أن يكون طالب الترخيص لخدمة تسليم الأصول المنقولة شركة نظامية في حال كان طالب الترخيص شخصًا - ذا صفة طبيعية - يراعى ما يلي: أن يكون طالب الترخيص كامل الأهلية، غير محكوم عليه بجريمة مخلة بالشرف أو الأمانة ما لم يكن قد رُد إليه اعتباره أن يكون طالب الترخيص مؤهلًا لتقديم الخدمة وفق ما تحدده الوكالة؛ وأن يكون لدى الحارس القضائي ترخيصًا ساريًا بمزاولة مهنة المحاسبة القانونية أو المحاماة أن يجتاز طالب الترخيص البرامج التدريبية والاختبارات التي تحددها الوكالة
ما هي شروط الحصول على رخصة المحاماة؟,نصت المادة الثالثة من نظام المحاماة على شروط مزاولة مهنة المحاماة: أ- أن يكون سعودي الجنسية، ويجوز لغير السعودي مزاولة مهنة المحاماة طبقًا لما تقضي به الاتفاقيات بين المملكة وغيرها من الدول. ب- أن يكون حاصلًا على شهادة البكالوريوس في تخصص الشريعة الإسلامية، أو شهادة البكالوريوس في تخصص الأنظمة من إحدى جامعات المملكة، أو ما يعادل أيًّا منهما، أو على شهادة دبلوم من معهد الإدارة العامة في تخصص القانون لا تقل مدة دراسته المعتمدة عن سنتين بعد الحصول على الشهادة الجامعية. ج- أن تتوافر لديه خبرة في طبيعة العمل لمدة لا تقل عن سنتين. ويعفى من هذه المدة الحاصل على شهادة الدكتوراه في مجال التخصص. وتخفض هذه المدة لتكون على النحو الآتي: 1-سنة واحدة للحاصل على شهادة الماجستير في تخصص الشريعة الإسلامية، أو في تخصص الأنظمة، أو ما يعادل أيًّا منهما، وللحاصل على شهادة دبلوم من معهد الإدارة العامة في تخصص القانون إذا كانت مدة دراسته المعتمدة سنتين. 2- ستة أشهر للحاصل على دبلوم معهد الإدارة العامة في تخصص القانون إذا كانت مدة الدراسة المعتمدة ثلاث سنوات. 3- تعد كل سنة من سنوات التدريب في البرامج المعتمدة نظامًا -التي يحددها وزير العدل بالتنسيق مع الهيئة السعودية للمحامين وهيئة تقويم التعليم والتدريب- معادلة لسنة من سنوات الخبرة المطلوبة إذا أتم المتدرب متطلبات البرنامج. د- أن يكون حسن السيرة والسلوك وغير محجور عليه. هـ- ألا يكون قد حكم عليه بحد أو بعقوبة في جريمة مخلة بالشرف أو الأمانة، ما لم يكن قد مضى على انتهاء تنفيذ الحكم خمس سنوات على الأقل. و- أن يكون مقيمًا في المملكة.
ما هي عقوبة المخالفين في الزواج الغير نظامي؟,محاكمة المتزوج تأديبًيا لدى ديوان المظالم. عدم توثيق الزواج من قبل الجهات المختصة في السعودية. عدم السماح بدخول الزوجة أو الزوج الأجنبي إلى المملكة وإنهاء إقامتهما إذا كان مقيمين داخل المملكة.
ماهي أبرز شروط الترخيص لمكتب المحاماة الأجنبي لمزاولة مهنة المحاماة في المملكة؟,أن يكون ذا سمعة دولية متميزة في مجال مزاولة مهنة المحاماة وفق المؤشرات والتقارير التنافسية الدولية ذات الصلة. أن يكون قد مضى على تأسيسه مدة لا تقل عن (عشر) سنوات. أن يكون لديه تمثيل أو شراكات فيما لا يقل عن (ثلاث) دول مختلفة، أو (خمسة) أقاليم داخل دولة واحدة إذا كانت الأنظمة أو التنظيمات داخل تلك الدولة تسمح بالاختلاف بين الأقاليم فيما يتصل بالأحكام المنظمة لمزاولة مهنة المحاماة. أن يسمي شريكين -على الأقل- يمثلانه في المملكة، على أن يلتزم المكتب بإقامتهما في المملكة مدة لا تقل عن (مائة وثمانين) يوماً في السنة. ألا يكون قد صدر ضد المكتب حكم نهائي في جريمة مخلة بالشرف أو الأمانة، أو قرار نهائي في مخالفة مهنية جسيمة؛ في أي بلد يزاول المهنة فيه –ما لم يكن قد مضى على انتهاء تنفيذ الحكم أو القرار خمس سنوات على الأقل.
ماهي شروط الحصول على رخصة التوثيق؟,يشترط في الموثق ما يأتي: أن يكون سعودي الجنسية أن يكون حسن السيرة والسلوك، وألا يكون محكوماً عليه بجريمة مخلة بالدين أو الشرف، أو صدر في حقه قرار تأديبي بالفصل من وظيفة عامة، ولو كان قد رُدّ إليه اعتباره أن يكون لائقاً صحيًا، وسليم الحواس أن يكون حاصلاً على شهادة جامعية في تخصص الشريعة أو الأنظمة من إحدى الكليات في المملكة، أو ما يعادل أيًّا منها، وبتقدير عام لا يقل عن (جيد) أن يجتاز امتحاناً تحريريًا تعده الإدارة المختصة أن يجتاز دورة تدريبية متخصصة في مجال التوثيق وفق ضوابط تحددها اللائحة، ما لم يكن قد عمل -مدة لا تقل عن سنة- قاضياً أو كاتب عدل أو محامياً أو مستشاراً شرعيًا أو نظاميًا أو درّس الفقه أو أصوله أو الأنظمة في إحدى كليات المملكة ألاَّ يكون موظفاً في القطاع العام أو القطاع الخاص، ولا مزاولاً لأي مهنة أخرى عدا مهنة المحاماة
متى ترد التكاليف القضائية؟,ترد التكاليف القضائية متى تبين عدم وجوبها على دافعها أو استفادته من إحدى حالات الإعفاء، ومن ذلك: إذا حكم لمصلحة دافع التكاليف القضائية. طلب رد القاضي أو القضاة وتم قبول طلب الرد. طلب تصحيح الحكم وتفسيره إذا قضي بإجابة الطلب. طلب الاستئناف إذا حكم بنقض الحكم المستأنف كليًا فيعفى من قيمة الطلب، إذا نقض الحكم جزئيًا فيعفى بقدر ذلك الجزء، وطلب النقض إذا قضي فيه بإعادة القضية إلى المحكمة مصدرة الحكم المعترض عليه. إذا ترك المدعي دعواه قبل عقد الجلسة الأولى وفقًا للإجراءات النظامية. الدعاوى التي تنتهي بالصلح قبل رفع الجلسة الأولى.
متى تنقضي الدعوى الجزائية الخاصة؟,وفقًا للمادة (٢٣) من نظام الإجراءات الجزائية تنقضي الدعوى الجزائية الخاصة في إحدى الحالات التالية: صدور حكم نهائي. عفو المجني عليه أو وارثه. ولا يمنع عفو المجني عليه أو وارثه من الاستمرار في دعوى الحق العام.
متى يتم إعلان محضر الحجز؟,يتم إعلان محضر الحجز في موقع نشر بيانات التنفيذ خلال خمسة أيام من تاريخ الحجز، ويعد هذا الإعلان إبلاغًا لجميع من له عـلاقة بالمال المحجوز، ومع ذلك يجب على مأمور التنفيذ أن يبلغ المحجوز عليه وكل من ظهر لقاضي التنفيذ أن له حقًا عينيًّا على المال المحجوز متى كان لهؤلاء عناوين معروفة لدى قاضي التنفيذ.  
متى يتم صرف النفقة للمستفيد من صندوق النفقة؟,يسعى الصندوق لصرف النفقة الأولى للمستفيد خلال خمسة أيام عمل من تاريخ قبول طلب المستفيد، بعد انتهاء عمليات التدقيق والدراسة، ويتم إشعار المستفيد بقبول طلبه.
متى يصدر التقدير النهائي لمبلغ التكاليف القضائية للدعوى؟,يصدر التقدير النهائي بعد انتهاء الدعوى، ولا يُحصل مبلغ التكاليف من المكلف إلا بعد انتهاء مدة الاعتراض على التقدير أو صدور قرار في شأن اعتراضه.
متى يمكن طلب ندب خبير؟,للمحكمة -من تلقاء نفسها أو بناءً على طلب أحد الخصوم- أن تقرر ندب خبير أو أكثر؛ لإبداء رأيه في المسائل الفنية التي يستلزمها الفصل في الدعوى، وفقًا للمادة (١١٠) من نظام الإثبات.
متى يمكن للمحضون السفر؟,مع مراعاة ما تقضي به الأحكام النظامية ذات العلاقة، يخضع السفر بالمحضون إلى خارج المملكة للأحكام الآتية: 1. لا يجوز للحاضن إذا كان أحد الوالدين السفر بالمحضون إلى خارج المملكة مدة تزيد على (تسعين) يوماً في السنة إلا بموافقة الوالد الآخر، والولي على النفس في حال وفاة الوالد. 2. لا يجوز للحاضن من غير الوالدين السفر بالمحضون إلى خارج المملكة مدة تزيد على (ثلاثين) يوماً في السنة إلا بموافقة الوالدين أو أحدهما في حال وفاة الآخر، والولي على النفس في حال وفاتهما.
من المختص في فصل المنازعات في محكمة التنفيذ؟,يختص قاضي التنفيذ بالفصل في منازعات التنفيذ مهما كانت قيمتها، وفقًا لأحكام القضاء المستعجل، ويختص كذلك بإصدار القرارات والأوامر المتعلقة بالتنفيذ، وله الأمر بالاستعانة بالشرطة أو القوة المختصة، وكذلك الأمر بالمنع من السفر ورفعه، والأمر بالحبس والإفراج، والأمر بالإفصاح عن الأصول، والنظر في دعوى الإعسار.
من هم الأشخاص الذين توزع عليهم حصيلة التنفيذ؟,توزع حصيلة التنفيذ - بأمر من قاضي التنفيذ - على الدائنين الحاجزين، ومن يعد طرفًا في الإجراءات.
من هم الأشخاص الذين لا تفرض عليهم تكاليف قضائية؟,المسجونون والموقوفون وقت استحقاق التكاليف القضائية في قضايا مالية غير جنائية في الدعاوى التي تقام سواء كانت منهم أو عليهم. العمال المشمولون بنظام العمل والمستثنون منه والمستحقون عنهم للمطالبة بمستحقاتهم الناشئة عن عقود العمل. الوزارات والأجهزة الحكومية. تتحمل الدولة التكاليف القضائية المستحقة على مستفيدي الضمان الاجتماعي.
من يتحمل التكاليف القضائية لطلب التنفيذ؟,يتحمل المنفذ ضده التكاليف القضائية لطلب التنفيذ، ما لم يثبت أن طالب التنفيذ غير مستحق لمطالبته، فيتحمل طالب التنفيذ كامل التكاليف القضائية، وإن كان طالب التنفيذ غير مستحق لجزء من مطالبته، فيتحمل من التكاليف بقدر هذا الجزء.
من يتحمل سداد مبالغ التكاليف القضائية؟,يتحمل المحكوم عليه قيمة التكاليف القضائية المقررة للدعوى والطلبات المتصلة بها أو قسطًا منها، ما لم ينص النظام أو اللائحة على غير ذلك، وذلك دون إخلال بحق ذوي الشأن في المطالبة بالتعويض. وفي حال كان المدعي غير محق في جزء من طلباته، فيتحمل قسط ذلك الجزء.
هل تنظر المحكمة في الدعاوى المستعجلة؟,تحكم المحكمة المختصة بنظر الموضوع بصفة مؤقتة في المسائل المستعجلة التي يخشى عليها فوات الوقت والمتعلقة بالمنازعة نفسها، ولا يؤثر هذا الحكم على موضوع الدعوى، سواء رفع طلب الحكم بالإجراء المؤقت مباشرة أو تبعًا للدعوى الأصلية، وفقًا للمادة (٢٠٥) من نظام المرافعات الشرعية.
هل توجد مدة محددة للمحامي الغير ممارس بعدها لا يسمح له بإعادة قيدهفي جدول المحامين الممارسين؟,نعم، توجد مدة محددة، وهي بحد اقصى عشر سنوات في حال تم نقل المحامي بناءً على طلبه، وخمس سنوات في حال أن تم نقل المحامي من قِبل اللجنة.
هل عدم دفع التكاليف القضائية يحول دون قيد الدعوى في المحكمة؟,لا يؤثر عدم دفع التكاليف على قيد الطلب والبت في الدعوى في كافة محاكم الدرجة الأولى، أما طلبات النقض والتماس إعادة النظر فيمهل مدة ثلاثون يومًا لسداد التكاليف وإلا سقط حقه في الطلب وعد الحكم نهائي.
هل لترك المدعي بالحق الخاص دعواه تأثير على الدعوى الجزائية العامة؟,لا يكون لترك المدعي بالحق الخاص دعواه تأثير على الدعوى الجزائية العامة.
هل لقاضي التنفيذ السلطة في الحبس الإجباري؟,يختص قاضي التنفيذ بالفصل في منازعات التنفيذ مهما كانت قيمتها، وفقًا لأحكام القضاء المستعجل، ويختص كذلك بإصدار القرارات والأوامر المتعلقة بالتنفيذ، وله الأمر بالاستعانة بالشرطة أو القوة المختصة، وكذلك الأمر بالمنع من السفر ورفعه، والأمر بالحبس والإفراج، والأمر بالإفصاح عن الأصول، والنظر في دعوى الإعسار.
